,judul,tanggal_berita,paragraf,tanggal_scraped
93,Bukan Kali Ini Saja Messi Tersandung Skandal Finansial...,"05/04/2016, 07:46 WIB","- Dunia sepak bola baru saja dikejutkan dengan kabar tak sedap tentang Lionel Messi. Megabintang Barcelona itu dilaporkan tersangkut skandal keuangan berskala internasional.Semuanya bermula dari bocornya 11,5 juta dokumen finansial milik sebuah firma hukum asal Panama, Mossack Fonseca, yang kemudian disebut sebagai skandal ""Panama Papers"".Temuan dokumen tersebut adalah hasil dari investigasi panjang selama satu tahun yang dilakukan Konsorsium Jurnalis Investigasi Internasional (ICIJ), harian terbitan Jerman Suddeutsche Zeitung, dan sejumlah media lainnya.  Dokumen itu mengungkapkan bahwa sejumlah kalangan, mulai dari kepala negara, politikus, selebriti, hingga atlet kelas dunia berupaya mendirikan perusahaan fiktif demi menghindari pajak. Dari beberapa kalangan atlet yang terlibat, terdapat satu nama yang paling menyita perhatian. Dia adalah Messi, salah satu pesepak bola terbaik pada abad ini.Messi dan sang ayah, Jorge, dituduh telah menyerahkan hak citra (image right) kepada dua perusahaan di Belize dan Uruguay agar dapat menghindari aturan membayar pajak di Spanyol.Mengetahui hal ini, pihak Messi pun memberikan tanggapannya. Melalui keluarganya, Messi secara tegas menyatakan bahwa dirinya tidak bersalah dan menyebut laporan itu sebagai fitnah.""Dalam menanggapi pemberitaan yang menyebutkan Messi bertanggung jawab membentuk sebuah perusahaan dalam upaya menghindari pajak, pihak keluarga menegaskan bahwa Messi tak melakukan hal tersebut,"" demikian pernyataan dari keluarga Messi, Senin (4/4/2016).Sebelum terbongkarnya ""Panama Papers"", pada 2013, Messi sempat terjerat kasus penggelapan pajak. Kala itu, Messi dan ayahnya dituduh menunggak pembayaran pajak di Spanyol yang nilainya mencapai 4 juta euro.""Ada tanda-tanda rasional kriminalitas yang dilakukan kedua belah pihak,"" tulis sang hakim seperti dilansir AFP, 8 Oktober 2015.Sebenarnya, tak hanya Messi saja yang pernah mengalami kasus tersebut. Dua rekan setim Messi di Barcelona, Neymar dan Javier Mascherano, turut tersandung persoalan serupa.Neymar didakwa bersalah atas kasus penggelapan pajak penghasilannya semasa bersama Santos hingga kasus biaya transfer ke Barcelona, serta sejumlah sponsor pribadi.Adapun Mascherano sempat divonis hukuman satu tahun penjara pada Januari 2016. Mascherano disebut telah melakukan penggelapan pajak senilai 1,5 jura euro pada kurun waktu 2011-2012. Namun, dia bebas dengan membayar ganti rugi.",2019-08-31
94,"Hamil dalam Kondisi Finansial Terbatas, Apa yang Harus Dilakukan?","27/12/2015, 10:02 WIB","Wanita mana yang tidak bahagia saat mengetahui bahwa diri sedang mengandung? Pastinya, sangat bahagia.
Namun, bagaimana jika kehamilan di luar rencana karena kondisi keuangan keluarga sedang minim? Anda tidak perlu bersedih hati.
Berikut beberapa kiat yang diungkapkan oleh Fiona Lippey, Pakar Keuangan,  untuk menjaga anggaran tetap seimbang menjelang kelahiran sang buah hati:
Hindari mengunjungi butik perlengkapan bayi saat kehamilan masih dalam usia dini. Sebab, Anda bisa tergiur membeli produk-produk yang sebenarnya tidak Anda butuhkan. 
""Barang-barang yang orang katakan penting sebenarnya tak penting,"" terang Lippey.
Dia menyarankan, untuk menunggu usia kehamilan sudah lanjut sehingga Anda lebih bijak dalam memilih perlengkapan yang dibutuhkan.
 Ingatlah bahwa busana hamil, tak akan dikenakan setelah Anda melahirkan. Tak ada salahnya untuk meminjam busana hamil dari sahabat atau kakak perempuan Anda. Jika harus membeli, Lippey menyarankan, untuk berpikir ""Apakah nantinya aku dapat menyusui saat menggunakan busana ini?"".
  Anda akan terkejut saat teman-teman Anda ingin membantu Anda melengkapi kebutuhan si jabang bayi. Jika ditanya apa yang Anda butuhkan, tak ada salahnya untuk memberi tahu yang sebenarnya agar barang yang diberikan oleh teman-teman Anda berguna dengan baik.
 Merencanakan membantu Anda untuk dapat mengeluarkan dana dengan bijak. Cobalah mengatur kapan waktu Anda mengambil cuti libur dan kembali bekerja.
Cara ini memudahkan untuk merencanakan keuangan dari awal kehamilan.
Satu hal yang sangat dianjurkan oleh Lippey adalah mulai menabung sedari dini agar memiliki simpanan ekstra.",2019-08-31
95,David Bowie Sukses Membawa Industri Hiburan ke Pasar Finansial,"14/01/2016, 05:00 WIB","- Mendiang penyanyi legendaris David Bowie tutup usia akibat penyakit kanker yang dideritanya. Akan tetapi, siapa sangka Bowie adalah pioner yang membawa industri musik masuk ke pasar finansial dengan melakukan sekuritisasi royalti atas karya-karya yang diciptakannya.Dalam hal ini, sekuritisasi adalah proses penjualan piutang royalti kepada pihak lain (dalam hal ini investor). Sehingga, Bowie menerima dana segar dari penjualan piutang tersebut.Sementara, investor mendapatkan dana dari pihak-pihak yang membayar royalti atas karya Bowie yang dipakai.Bowie berhasil meraup dana sebesar 55 juta dollar AS atau setara sekitar Rp 770 miliar dari sekuritisasi royalti yang diperoleh dari lagu-lagu hitsnya. Atas keberhasilannya itu, beberapa penyanyi lantas mengikuti jejaknya, antara lain James Brown, Rod Stewart, dan band Iron Maiden.""'Bowie Bond' sama melejitnya dengan musiknya. Tidak hanya diikuti oleh musisin lain, namun obligasi ini merambah ke jenis aset lainnya,"" kata Rob Ford, Money Manager di TwentyFour Asset Management. ""Bowie Bond"" dijual secara eksklusif kepada Prudential Insurance Co dan mendapatkan rating A3 dari Moody’s Investors Service. Akan tetapi seiring dengan maraknya pembajakan melalui internet pada awal 2000an, rating tersebut anjlok menjadi Baa3, atau satu level di atas ""obligasi sampah"" (junk bond).Terlepas dari itu semua, industri hiburan pun melakukan langkah yang sama. Tak hanya industri musik, namun juga film, paten farmasi, waralaba restoran, hingga komik Peanuts. ""Bowie telah mengubah pandangan tentang seni dan komersialisasi,"" ujar David Pullman, bankir yang mengatur sekuritisasi obligasi Bowie. Tahun lalu, penjualan sekuritisasi semacam ini meningkat 21 persen di AS dan pertumbuhan sektor ini tumbuh lebih cepat dibandingkan penerbitan obligasi tradisional, menurut data Barclays Plc. Volumenya pun meningkat 16 persen menjadi sekitar 40 miliar dollar AS per November 2015.",2019-08-31
96,Idrus Marham: Tidak Selamanya Modal Finansial Menentukan Ketua Umum Partai,"25/02/2016, 19:10 WIB","- Sekretaris Jenderal Partai Golkar yang juga mencalonkan diri sebagai ketua umum, Idrus Marham, mengatakan bahwa dirinya optimis akan bisa mengalahkan calon-calon lain dalam Musyawarah Nasional yang akan diselenggarakan bulan April 2016 mendatang. Meskipun, dia meyakini saat ini ada arena pertarungan yang mengandalkan modal finansial besar, namun ia mengaku tidak gentar sedikit pun walau pun tak memiliki modal banyak. Tidak selamanya modal finansial bisa menjadi faktor utama terpilihnya seseorang menjadi ketua umum partai. Idrus merasa modal yang dimiliknya hanya modal sosial politik. 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        

""Sebagai seorang aktivis, saya akan lebih mengandalkan modal sosial politik. Modal saya modal sosial politik. Saya akan ciptakan pertarungan antara modal finansial dan sosial politik,"" ujar Idrus dalam sebuah diskusi 'Pembangunan Politik dan Sistem Kepartaian Iindonesia' di Tebet Timur, Jakarta Selatan, Kamis (25/2/2016). Menurut Idrus tidak selamanya uang sebagai modal finansial bisa membuat sebuah partai berjalan dengan baik, tapi idealisme dan komitmen yang dibutuhkan oleh Golkar saat ini. Menurut penuturannya, saat terpilih menjadi Sekjen Partai Golkar, ia lebih memilih untuk mundur dari keanggotaan Dewan Perwakilan Rakyat. Ketika ditawari menjabat sebagai Menteri oleh Aburizal Bakrie, ia pun menolak.""Saya mundur dari DPR saat terpilih menjadi Sekjen. Saya ditawari menteri juga tidak mau. Kata ARB, saya ini aneh dan langka karena tidak mau jadi menteri,"" ungkap Idrus. Selain itu, ketika pemilu legislatif 2014 lalu ia menaku menolak untuk mendaftar sebagai caleg karena telah berkomitmen untuk mencurahkan seluruh perhatiannya membangun partai. Idrus yakin dirinya akan terpilih menjadi ketua umum Partai Golkar karena memiliki modal sosial politik mengalahkan calon-calon lain. Meskipun calon lain memiliki modal finansial yang lebih besar. ""Itulah modal sosial politik saya. hanya itu cara agak bisa mengubah partai Golkar,"" pungkasnya.",2019-08-31
97,Hanya Modal Finansial Tidak Cukup untuk Menangi Kursi Ketua Umum Golkar,"27/02/2016, 15:47 WIB","- Menjelang Musyawarah Nasional Partai Golkar, persaingan calon Ketua Umum kian memanas. Sejumlah kader sudah menyatakan diri akan maju dalam kontestasi pertarungan dan mulai bergerilya ke beberapa daerah. Pengamat politik Yunarto Wijaya berpendapat, saat ini, seorang kader tidak hanya bisa mengandalkan modal finansial untuk memenangi kursi ketua umum Partai Golkar. Modal sosial politik pun menjadi syarat yang tidak bisa dikesampingkan begitu saja.Ia melihat ada kecenderungan Dewan Perwakilan Daerah memilih calon-calon yang bisa membangun jaringan antar-partai dan tidak memiliki catatan yang justru akan memperburuk citra Golkar di masyarakat. ""Saat ini modal finansial yang kuat sudah tidak terlalu dipedulikan. DPD cenderung memilih sosok ketua umum yang bersih,"" ujar Yunarto ketika dihubungi pada Sabtu (27/2/2016) siang. 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        

Beberapa waktu lalu, Sekretaris Jenderal Partai Golkar Idrus Marham mengatakan, tantangan terberat bagi ketua umum ke depan adalah mengembalikan kepercayaan masyarakat terhadap eksistensi politik partai berlambang pohon beringin itu. Saat ini, menurut Idrus, tingkat kepercayaan masyarakat sudah menurun drastis. ""Memang seperti itu faktanya. Itulah tantangan ketua umum partai golkar ke depan,"" ujar Idrus Marham ketika ditemui di Tebet Timur, Jakarta Selatan, Kamis (25/2/2016). Bagi Idrus, fakta tersebut menjadi persoalan yang harus dipecahkan oleh Partai Golkar. Masyarakat menjadi sulit untuk menuntut kinerja dan produktivitas dari pejabat-pejabat publik yang notabene itu adalah kader partai politik, karena tidak memiliki kemampuan yang baik. ""Siapa yang paling bertanggung jawab? Ya Parpol. Salah satu fungsi partai adalah menguatkan kader politik agar mampu menduduki jabatan-jabatan strategis,"" ujarnya.",2019-08-31
98,"Tingkatkan Kesejahteraan dengan ""Melek"" Finansial","16/06/2015, 07:31 WIB","- Menurut survei Otoritas  Jasa Keuangan ( OJK) tahun 2013, tingkat literasi  keuangan Indonesia baru 21,8 persen dengan tingkat inklusi 59,7 persen. Sementara itu, untuk masyarakat berpenghasilan rendah hanya mencapai angka 18,71 persen.
Persentase tersebut mencerminkan bahwa masyarakat Indonesia masih belum memiliki pengetahuan yang cukup mengenai keuangan. Padahal, Indonesia merupakan negara besar dengan lebih dari 17 ribu pulau.
""Melek"" finansial bagi masyarakat bukan berarti sekedar bisa menabung. Ini merupakan proses untuk meningkatkan pengetahuan, keterampilan, dan keyakinan dalam diri untuk mengelola keuangan lebih baik. Tentu saja, jika masyarakat semakin mengenal manfaat dari jasa dan layanan keuangan, maka akan semakin banyak transaksi sebagai penggerak roda perekonomian negara. Secara pribadi, cerdas mengelola keuangan dapat menghasilkan pendapatan pasif pendamping pendapatan aktif.

Hal pertama harus diperhatikan jika membicarakan masalah finansial adalah cara mengatur pengeluaran. Seseorang harus cerdas mengatur pembelanjaan, pembayaran, dan pengeluaran lainnya agar tidak mengalami lebih besar pasak daripada tiang.
Jangan lupa untuk menabung. Banyak orang beralasan tidak bisa menabung karena uangnya telah dipakai untuk kebutuhan lain. Triknya, jadikan tabungan sebagai bagian dari kebutuhan dan tentukan tujuannya. Sisihkan uang setelah menerima pendapatan bulanan.
Produk keuangan lain yang sudah dikenal luas adalah kredit. Biasanya kredit digunakan sebagai pinjaman untuk memenuhi kebutuhan tersier, seperti membeli tiket liburan murah atau mengejar diskon di mal. Padahal, kredit dapat digunakan sebagai investasi produktif dan membawa keuntungan, misalnya biaya membangun kontrakan atau menambah modal usaha.
Selain itu, produk keuangan berikutnya adalah asuransi. Banyak orang abai karena tidak memikirkan efek jangka panjang produk satu ini. Jenis-jenis asuransi seperti pendidikan, kesehatan atau kendaraan merupakan sebuah jaminan finansial. Jika di masa depan menderita penyakit dengan biaya besar, asuransi dapat membantu meringankan biaya yang dikeluarkan.
Terakhir, seseorang yang cerdas finansial akan menyiapkan investasi untuk hidupnya. Perangkat investasi kini lebih umum diketahui masyarakat. Hari ini, ada beragam investasi yang dapat dipilih, di antaranya berupa emas, saham, reksadana, dan properti.
Kepemilikan semua produk dan  jasa keuangan ini juga harus disertakan dengan pemahaman akan keuntungan dan kerugiannya. Ingatlah untuk menghitung bunga, hasil investasi, denda, dan risiko yang ada. Cermati biaya yang ditanggung dan berapa persentase keuntungan yang akan diperoleh.Mulai untuk mengenal produk dan layanan keuangan secara luas sebaiknya memang dilakukan sedini mungkin. Hal ini tidak hanya akan membuat seseorang lebih pandai mengelola uangnya, tetapi juga akan pada kebebasan finansial.",2019-08-31
99,Pasar Finansial Indonesia Masih Dangkal,"07/09/2015, 15:52 WIB","Pasar finansial Indonesia relatif masih dangkal dibandingkan negara lain di Asia Tenggara. Begitu hasil riset Mandiri Institute dan Oliver Wyman. Menurut Direktur Utama Bank Mandiri yang juga Advisory Board Mandiri Institute Budi G Sadikin, dangkalnya pasar keuangan itu bisa memengaruhi dukungan terhadap pembiayaan infrastruktur. Oleh karenanya dia mendorong agar pembangunan infrastruktur pasar keuangan digenjot. ""Indonesia perlu infrastruktur cukup besar. Misal pembangunan 35.000 megawatt tenaga kelistrikan, pembangunan 35 pelabuhan, bandara. Tapi juga kita harus siapkan infrastruktur keuangan. Saat ini masih jauh dari memadai.” ujar Budi di acara Seminar Internasional financial deepening, Jakarta, Senin (7/9/2015). Dangkalnya pasar keuangan Indonesia bisa terlihat dari jumlah emiten saham di Bursa Efek Indonesia yang mencapai 540 perusahaan, dibandingkan dengan 1.400 perusahaan di Thailand dan 2.360 perusahaan di Malaysia. Selain itu, jumlah emiten obligasi domestik hanya 140 perusahaan. Sementara, Thailand dan Malaysia mencapai 304 dan 1.008 emiten. Riset Mandiri Institute dan Oliver Wyman juga menunjukkan tingkat partisipasi investor ritel di pasar keuangan Indonesia baru mencapai 0,2 persen dari total populasi atau sekitar 450.000 investor. Sedangkan, partisipasi investor ritel di India telah mencapai 2 persen dari total populasi. Akibatnya, tingkat kontribusi pasar saham Indonesia ke PDB hanya mencapai 49 persen. Sementara, Thailand 111 persen, Malaysia 141 persen, dan India 149 persen. Kepala lembaga konsultan manajemen global Oliver Wyman Asia Pasifik Bernhard Kotanko sependapat dengan Budi. Menurutnya, pasar keuangan Indonesia memang harus diperdalam sehingga dorongan terhadap pembiayaan infrastruktur bisa semakin besar. ""Financial deepening dan pertumbuhan ekonomi harus berjalan beriringan. Asia Tenggara berkembang pesat dalam kemajuan keuangan, dan roadmap yang kami kembangkan dengan 40 inisiatif juga dapat menjadi masukan berharga untuk negara berkembang lain di Asia,"" kata dia. Lantaran itulah, Mandiri Institute berkolaborasi dengan lembaga konsultan manajemen global Oliver Wyman menggelar Seminar Internasional tentang Pendalaman Sektor Keuangan untuk meningkatkan dukungan industri keuangan kepada penciptaan kestabilan ekonomi di Indonesia. Sebanyak 250 peserta dari berbagai pemangku kepentingan di sektor pasar keuangan mendiskusikan kajian terkini berjudul Financial Deepening in Indonesia: Executing for Growth.",2019-08-31
100,Miliarder AS Ini Peringatkan Krisis Finansial Lanjutan,"11/06/2015, 11:01 WIB","Masa krisis finansial sepertinya belum akan berakhir. Setidaknya, hal inilah yang diyakini oleh bos perusahaan pengelola investasi Steve Schwarzman yang juga merupakan salah seorang miliarder Amerika Serikat. ""Salahkan pemerintah, bukan Wall Street untuk krisis finansial berikutnya,"" kata dia.
Schwarzman merupakan CEO finansial teranyar yang mengingatkan bahwa peraturan baru yang diterapkan setelah Great Recession akan menyebabkan krisis likuiditas yang dapat memicu memburuknya kondisi perekonomian.
""Kekeringan likuiditas dapat memicu krisis finansial berikutnya. Para penjual akan menawarkan surat utang, namun tidak ditemukan adanya pembeli,"" tulis Schwarzman, pendiri Blackstone, salah satu perusahaan pengelola investasi terbesar dunia.

Dia mencatat bahwa peraturan Dodd-Frank telah menyebabkan sistem perbankan menjadi kuat dengan mensyaratkan bank memegang aset-aset yang lebih likuid. Artinya, aset-aset tersebut dapat dengan mudah dijual di masa sulit. Meski demikian, kebijakan ini menuai konsekuensi yang tidak diinginkan.
Schwarzman menjelaskan, saat bank memegang aset yang lebih banyak lagi, maka tidak akan mudah menemukan pembeli dan penjual saham, obligasi, dan investasi lainnya. Dia pun mengutip laporan yang dirilis Deutsche Bank yang mengatakan cadangan obligasi korporasi merosot 90 persen sejak 2001.
""Melihat kondisi ini, perubahan peraturan dapat memicu krisis finansial berikutnya sekaligus memperlambat pertumbuhan ekonomi,"" katanya mengingatkan.
Hal senada juga diungkapkan oleh ekonom Nouriel Roubini. Roubini mengingatkan akan keberadaan ""bom waktu likuiditas"" yang dia khawatirkan akan memicu kolapsnya pasar finansial.
Roubini percaya, salah satu faktor penyebabnya adalah peraturan yang ditetapkan pemerintah. Selain itu, faktor lainnya adalah tingginya transaksi perdagangan via komputer yang cepat serta upaya the Fed untuk menstimulasi pertumbuhan ekonomi yang pada akhirnya menciptakan penggelembungan aset (asset bubbles).",2019-08-31
101,"China Pangkas Yuan, Pasar Finansial Terguncang","07/01/2016, 13:07 WIB","- Pada Kamis (7/1/2016), bank sentral China kembali memangkas nilai tukar yuan. Tidak tanggung-tanggung, pelemahan yuan hari ini merupakan pelemahan terbesar sejak kebijakan devaluasi mengejutkan pada Agustus lalu.Dampak dari kebijakan ini, pasar saham China ditutup selang 30 menit setelah pasar dibuka. Sementara, pasar saham di Asia berguguran satu per satu.Asal tahu saja, People's Bank of China (PBOC) menetapkan nilai tukar yuan pada hari ini di level 6,5646 per dollar AS. Level tersebut lebih lemah 0,51 persen jika dibandingkan dengan penetapan nilai tukar Rabu (6/1/2016).Berdasarkan data Reuters, nilai pelemahan yuan tersebut merupakan perubahan terbesar sejak 13 Agustus lalu. Sekadar informasi, yuan ditutup pada level 6,555 per dollar AS pada Rabu.Saat ini, PBOC hanya menolerir nilai tukar yuan di pasar spot naik atau turun maksimum sebesar 2 persen terhadap dollar AS.Devaluasi yuan yang dilakukan hari ini mengguncang market. Di pasar offshore, misalnya, yuan turun ke rekor terendah di level 6,7511 per dollar AS sebelum akhirnya pulih ke level 6,6910 yang diduga akibat intervensi bank sentral. Sedangkan nilai tukar yuan di pasar onshore melemah ke posisi 6,5932.Pelaku pasar melihat, langkah China mendevaluasi mata uangnya bukanlah upaya mereka untuk mendongkrak ekspor. Langkah ini juga merefleksikan derasnya arus dana yang hengkang dari Negeri Panda.  ""PBOC sepertinya tidak mungkin membiarkan pelemahan yuan secara tidak terkontrol. Mereka memiliki kekuatan untuk mengatur percepatan dan pelemahan yuan.  Namun jelas terlihat pasar mata uang China lebih fleksibel dan pasar ingin agar terjadi perubahan pada pasar mata uang,"" jelas Jason Daw, head of Asian foreign exchange strategy Societe Generale.Daw meramal, nilai tukar yuan di pasar onshore akan mencapai 6,80 per dollar AS pada akhir kuartal empat 2016.",2019-08-31
102,Tujuh Langkah Meraih Kemerdekaan Finansial,"03/09/2015, 07:44 WIB","Sudah 70 tahun Indonesia merdeka. Usia yang sudah renta sebenarnya. Namun rakyat Indonesia yang bisa disebut merdeka secara finansial, ternyata masih terbilang minim. Bahkan, masyarakat kelas menengah pun masih banyak yang belum sampai pada tahap itu. Boro-boro meraih kemerdekaan finansial, sebagian besar belum paham arti kemerdekaan finansial.
Apa yang dimaksud kemerdekaan finansial?
Menurut Eko Endarto, perencana keuangan Financia Consulting kemerdekaan finansial adalah ketika seseorang mencapai tujuan keuangan, yang mencakup setidaknya tiga tujuan yakni dana pendidikan anak, dana pensiun, dan proteksi terlindungi melalui asuransi.
Jadi, saat mereka memerlukan dana untuk keperluan tadi, keuangan mereka secara keseluruhan tidak terganggu. Maka, “Kemerdekaan finansial itu bukan berarti punya uang yang banyak,” tegas Eko.
Eko mengatakan bahwa kemerdekaan finansial bukan berarti ketiga tujuan keuangan tadi, secara nominal, sudah tercapai. “Masih setor dananya secara rutin itu juga sudah bisa dibilang sudah merdeka finansial,” ujarnya.  
Menurut Eko Pratomo, penulis buku Finansial Wisdom pengertian kemerdekaan finansial seringkali diartikan secara kurang tepat. Ada yang berpendapat bahwa kemerdekaan finansial adalah suatu kondisi di mana seseorang sudah punya aset yang memberikan pasive income atau punya kelebihan pendapatan.  “Istilah yang tepat, menurut saya, kemandirian finansial,” kata Eko Pratomo. Sesuai dengan  hukum Pareto, maka baru sekitar 20 persen masyarakat yang mencapai kemandirian finansial, sedangkan sisanya belum.    
Sejauh ini, menurut Eko Pratomo, sebagian besar masyarakat belum sadar bahwa ada kebutuhan di masa depan yang harus disiapkan jauh-jauh hari. “Anak sudah kelas 2 SMA baru kelabakan menyiapkan biaya masuk kuliah, padahal seharusnya sejak anaknya lahir harus sudah disiapkan dana pendidikannya,” jelasnya.
Di antara sebagian kecil masyarakat yang sadar terhadap kebutuhan di masa depan adalah L.Dewi, seorang dokter gigi spesialis yang memiliki klinik sendiri di Yogyakarta. Dokter gigi  ini menuturkan sejak anak pertamanya lahir tahun 2009 ia langsung menyiapkan dana pendidikan melalui produk asuransi pendidikan. “Waktu itu setoran preminya Rp 100.000 per bulan dan tahun depan sudah selesai 17 tahun akan cair dananya,” jelas ibu dua orang putri ini.
Sejak melepaskan status PNS, Dewi sadar harus siap menghadapi aneka risiko finansial. Karena itu, ia memiliki dana darurat di deposito berjangka 1 bulan agar mudah dicairkan jika dibutuhkan. Selain itu Dewi  juga memiliki proteksi asuransi jiwa dan kesehatan. Kini ia merasa sudah mencicipi kemerdekaan finansial. “Kalau saya lebih karena merasa butuh, jadi harus bisa menyisihkan secara rutin,” jelasnya.
Lain halnya dengan yang dialami oleh Pitoyo. Pegawai bank yang tinggal di Jakarta  ini mengaku terlambat dalam menyiapkan kemandirian finansial. “Saya baru sadar itu saat anak pertama masuk sekolah dasar dengan membuat asuransi pendidikan, padahal seharusnya sejak lahir sudah disiapkan,” kata ayah tiga anak ini.
Makanya, saat anak kedua dan ketiga lahir, ia lantas menyiapkan tabungan pendidikan.   Sedang dana darurat ia memilih menempatkan dalam bentuk tabungan. “Dana darurat ini sangat penting dan terasa sekali kebutuhannya saat jumlah anak bertambah,’jelasnya. Dalam waktu dekat ia memilih investasi properti dengan alasan lebih mudah dilihat hasilnya.
Hal penting yang harus disadari dalam menuju kemerdekaan finansial adalah punya pola hidup sesuai dengan besarnya gaji atau penghasilan, sehingga pengeluaran bisa diatur lebih kecil ketimbang penghasilan. “Jangan sampai misalnya gaji Rp 10 juta terus dihabiskan. Setidaknya belanjakan hanya Rp 7 juta,” jelas Eko Pratomo.Sisanya, tentu saja untuk mengangsur kebutuhan masa depan yang harus terpenuhi dengan cara disiapkan jauh-jauh hari pendanaannya.",2019-08-31
103,Jangan Mau Celaka… Cerdiklah Atur Keuangan setelah Berkeluarga!,"20/06/2015, 08:43 WIB","Uang menjadi salah satu penyebab utama perceraian di dunia. Dalam tulisannya, Jeffrey Dew, peneliti dari Utah State University, mengatakan bahwa pemborosan finansial oleh seorang pasangan dalam hubungan rumah tangga dapat meningkatkan kemungkinan perceraian hingga 45 persen.",2019-08-31
104,"Di Hadapan Pebisnis Indonesia-Australia, Bank Mandiri Nyatakan Dukungan terhadap Inklusi Finansial","15/11/2015, 08:40 WIB","- PT Bank Mandiri Tbk menyatakan komitmennya untuk mendukung inklusi finansial. Salah satunya adalah dengan menambah agen branchless banking hingga 100.000 agen pada 2020.Hal itu diungkapkan oleh SVP Micro Banking Group Bank Mandiri Maswar Purnama dalam forum bisnis Indonesia-Australia di Canberra.“Selama 10 tahun ini, kami sudah mempunyai 3.000 jaringan di seluruh Indonesia dtambah dengan 5.000 agen branchess banking dalam 1 tahun terakhir,"" ujar Maswar dalam keterangan resminya, Mnggu (15/11/2015).Menurut Maswar, pasar yang belum terjangkau oleh layanan perbankan masih sangat luas. Karena itu, branchless banking akan menambah kemampuan perseroan dalam penyediaan layanan perbankannya sampai ke pelosok desa.Acara yang mengambil topik Strengthening Economic Relations Between Indonesia and Australia ini juga dihadiri oleh sejumlah pembicara dari Indonesia.Para pembicara itu antara lain Gubernur Jawa Timur Sukarwo, Gubernur Banten Rano dan Gubernur Lampung Ridho Ficardo.",2019-08-31
105,Krisis Finansial Partai Politik Memicu Korupsi,"03/08/2013, 10:23 WIB","—  Keterbatasan sumber dana partai politik semakin mendorong pencarian dana secara ilegal. Terlebih lagi, ikatan antara parpol dan pemilih semakin lemah sehingga jumlah dana internal parpol merosot. Krisis finansial parpol ini pada akhirnya memicu korupsi.
Demikian dikatakan dosen Ilmu Politik Universitas Gadjah Mada, Ari Dwipayana, Jumat (2/8/2013), dalam diskusi Meninjau Ulang Banggar dan Kewenangan Pembahasan Anggaran DPR di kantor Indonesia Corruption Watch (ICW), Jakarta.
Selain Ari Dwipayana, turut menjadi pembicara Direktur Eksekutif Indonesia Budget Center (IBC) Arif Nur Alam, peneliti ICW Donal Fariz, dan Wakil Direktur Perkumpulan untuk Pemilu dan Demokrasi (Perludem) Very Junaidi.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        


”Sebenarnya, ada bantuan keuangan partai, tetapi tidak cukup. Lalu, sumber-sumber dana lain makin dicari. Partai, misalnya, tidak pernah secara formal menugaskan anggota untuk menggalang dana, tetapi elite partai kerap menugaskan ’orang kepercayaan’ duduk di posisi strategis DPR, termasuk di badan anggaran,” ujar Ari.
YLBHI, FITRA, IBC, dan ICW telah mengajukan uji materi terhadap Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara dan UU No 27/2009 tentang MPR, DPR, DPD, dan DPRD. Uji materi dimaksudkan untuk meminimalkan peluang korupsi dan praktik mafia anggaran.
Empat pokok materi uji materi terkait keberadaan Badan Anggaran (Banggar) DPR, kewenangan DPR untuk membahas RAPBN secara terperinci, praktik perbintangan atau pemblokiran anggaran, dan pembahasan RAPBN.
Arif mengatakan, anggota DPR tidak akan mempunyai cukup waktu untuk menelaah anggaran yang diajukan pemerintah. Tak heran, dengan sistem yang kini berjalan terjadi konspirasi anggaran.
”Pola untuk mengambil dana anggaran untuk memperkaya diri sendiri, kelompok, dan demi mobilitas partai juga sangat mutakhir. Mereka tidak sekadar mengalokasikan proyek di dapil (daerah pemilihan) masing-masing, tetapi sudah zig-zag antardapil,” ujar Arif.
Korupsi-korupsi yang melibatkan anggota DPR selama ini, menurut Donal, dipicu tingginya biaya politik. ”Ada partai, misalnya, yang menggelar kongres dengan dana puluhan miliar rupiah. Lagi-lagi, sumber dananya tidak jelas dari mana,” ujar Donal.
Peneliti Forum Masyarakat Peduli Parlemen Indonesia, Lucius Karus, secara terpisah juga menduga, pembahasan APBN Perubahan kerap dijadikan celah korupsi oleh anggota DPR. Karena itu, APBN-P sebaiknya ditiadakan, kecuali jika terjadi perubahan perekonomian yang luar biasa.",2019-08-31
